At1g01050	QGB11L23ygab1
At1g01470	QGE11F20ygab1
At1g01730	QGF10D03ygab1
At1g01940	QGF24E20ygab1
At1g02140	QGJ13B18ygab1
At1g02170	QGC24E01ygab1
At1g02640	QGD9O08ygab1
At1g03220	QGI7A07ygab1
At1g03250	QGF25P15ygab1
At1g03470	QGH9A15ygab1
At1g03600	QGJ8L05ygab1
At1g04290	QGJ13G23ygab1
At1g04560	QGF11B13ygab1
At1g04620	QGG19N02ygab1
At1g05190	QGF21I13ygab1
At1g05720	QGJ17G06ygab1
At1g05910	QGG30P16ygab1
At1g06190	QGE20B08ygab1
At1g06680	QGF27N07ygab1
At1g06690	QGF26A17ygab1
At1g07040	QGF26P21ygab1
At1g07180	QGA16K12ygab1
At1g07350	QGG9I02ygab1
At1g07510	QGC28G23ygab1
At1g08200	QGJ7N23ygab1
At1g08480	QGJ7I07ygab1
At1g08500	QGJ16M15ygab1
At1g08780	QGF27G11ygab1
At1g09340	QGF21G14ygab1
At1g09700	QGJ3O12ygab1
At1g09830	QGF27J17ygab1
At1g09900	QGC14I14ygab1
At1g09910	QGH10A11ygab1
At1g09960	QGC27N03ygab1
At1g10150	QGC15K16ygab1
At1g10200	QGH7D23ygab1
At1g10740	QGF24I11ygab1
At1g11400	QGB23H16ygab1
At1g11430	QGI8J12ygab1
At1g11760	QGF7D24ygab1
At1g11790	QGF11K22ygab1
At1g11820	QGI5F17ygab1
At1g11890	QGI12B05ygab1
At1g12050	QGG8K16ygab1
At1g12230	QGE5C12ygab1
At1g12310	QGF15K22ygab1
At1g12330	QGB15D06ygab1
At1g12410	QGH10I13ygab1
At1g12520	QGF27L08ygab1
At1g12550	QGE19I20ygab1
At1g12580	QGC9N05ygab1
At1g12830	QGF17G15ygab1
At1g12840	QGF12N21ygab1
At1g12950	QGC8E15ygab1
At1g13440	QGD6M17ygab1
At1g13690	QGF7L03ygab1
At1g13700	QGB15D15ygab1
At1g13750	QGF9P05ygab1
At1g14000	QGB11P02ygab1
At1g14150	QGC1d04ygab1
At1g14340	QGB9J12ygab1
At1g14620	QGF10K20ygab1
At1g14650	QGJ4H14ygab1
At1g14900	QGJ7L05ygab1
At1g15140	QGJ3M07ygab1
At1g15340	QGC25O04ygab1
At1g15820	QGF20M10ygab1
At1g16080	QGB25N01ygab1
At1g16210	QGE7A09ygab1
At1g16310	QGB2a10ygab1
At1g16470	QGE14I12ygab1
At1g16740	QGC24L24ygab1
At1g16810	QGD8G21ygab1
At1g16880	QGJ14F10ygab1
At1g17220	QGC15P21ygab1
At1g17530	QGB6G19ygab1
At1g17550	QGF10C16ygab1
At1g17890	QGA8M15ygab1
At1g18010	QGI9J08ygab1
At1g18170	QGH5L24ygab1
At1g18800	QGC19J17ygab1
At1g19100	QGF11M23ygab1
At1g19330	QGG36D23ygab1
At1g20110	QGB16F16ygab1
At1g20200	QGB24O09ygab1
At1g20225	QGF27K06ygab1
At1g20340	QGF9F08ygab1
At1g20430	QGE13C13ygab1
At1g20540	QGB24D10ygab1
At1g20930	QGB8D03ygab1
At1g21840	QGC9C21ygab1
At1g22170	QGF9K15ygab1
At1g22470	QGF3e10ygab1
At1g22940	QGG13L05ygab1
At1g23740	QGG16K12ygab1
At1g23820	QGG34M12ygab1
At1g23890	QGF6I01ygab1
At1g24020	QGA7H15ygab1
At1g26550	QGJ16P13ygab1
At1g26750	QGJ16N23ygab1
At1g26810	QGB10B19ygab1
At1g26880	QGJ7B02ygab1
At1g27210	QGG10O24ygab1
At1g27340	QGJ14H21ygab1
At1g27435	QGE6I11ygab1
At1g27480	QGB17C13ygab1
At1g27930	QGF14M12ygab1
At1g27950	QGF12D24ygab1
