At1g01050	32541497
At1g01470	QHN5O19ygab1
At1g01730	32538705
At1g01940	32534505
At1g02140	32536232
At1g02170	QHB42F12ygab1
At1g02640	QHB38G03ygab1
At1g03220	QHE26G11ygab1
At1g03250	32539379
At1g03470	32536822
At1g03600	32533791
At1g04290	QHB27F16ygab1
At1g04560	QHI11J16ygab1
At1g04620	QHB38P14ygab1
At1g05190	QHL3D23ygab1
At1g05720	32537884
At1g05910	QHG3c10ygab1
At1g06190	QHK8E05ygab1
At1g06680	32531066
At1g06690	QHE5K07ygab1
At1g07040	QHA8I10ygab1
At1g07180	QHB7C02ygab1
At1g07350	QHF9M03ygab1
At1g07510	QHI23M17ygab1
At1g08200	32541414
At1g08480	32538533
At1g08500	QHG15P18ygab1
At1g08780	32541317
At1g09340	QHL15L12ygab1
At1g09700	QHK12C19ygab1
At1g09830	QHB27I24ygab1
At1g09900	32538681
At1g09910	QHB35C18ygab1
At1g09960	QHB42O12ygab1
At1g10150	QHH3f05ygab1
At1g10200	QHL18I10ygab1
At1g10740	QHB33B21ygab1
At1g11400	32536116
At1g11430	QHA16N07ygab1
At1g11760	32530877
At1g11790	QHB30B22ygab1
At1g11820	QHH9K09ygab1
At1g11890	QHA13A11ygab1
At1g12050	QHG1g02ygab1
At1g12230	QHL19J01ygab1
At1g12310	32531890
At1g12330	QHL1G06ygab1
At1g12410	QHF16K16ygab1
At1g12520	32534857
At1g12550	QHI10F05ygab1
At1g12580	QHG17N06ygab1
At1g12830	32535713
At1g12840	QHH7N02ygab1
At1g12950	QHB3e09ygab1
At1g13440	32538530
At1g13690	32534115
At1g13700	32539726
At1g13750	QHD2h08ygab1
At1g14000	32539623
At1g14150	QHM12M23ygab1
At1g14340	15005533
At1g14620	QHK7O21ygab1
At1g14650	QHK17K19ygab1
At1g14900	32540084
At1g15140	QHB10J15ygab1
At1g15340	32539638
At1g15820	32532134
At1g16080	23400933
At1g16210	QHK17H17ygab1
At1g16310	QHB30A05ygab1
At1g16470	32538563
At1g16740	32531420
At1g16810	32533834
At1g16880	QHF3a11ygab1
At1g17220	QHL21N13ygab1
At1g17530	32529480
At1g17550	QHB12A06ygab1
At1g17890	QHI19D01ygab1
At1g18010	QHG3b10ygab1
At1g18170	QHK6H09ygab1
At1g18800	32534858
At1g19100	QHF9I04ygab1
At1g19330	QHM21D12ygab1
At1g20110	QHF2f11ygab1
At1g20200	32534646
At1g20225	32537182
At1g20340	32531761
At1g20430	32538748
At1g20540	32535668
At1g20930	32539545
At1g21840	QHH10B09ygab1
At1g22170	QHE22H17ygab1
At1g22470	28370719
At1g22940	QHB3d07ygab1
At1g23740	QHB10E04ygab1
At1g23820	32537294
At1g23890	QHG7H01ygab1
At1g24020	32535776
At1g26550	QHE16I11ygab1
At1g26750	QHJ6J19ygab1
At1g26810	QHK8L11ygab1
At1g26880	32541849
At1g27210	QHJ23E05ygab1
At1g27340	QHB7G18ygab1
At1g27435	32530816
At1g27480	QHK5D10ygab1
At1g27930	QHA7G17ygab1
At1g27950	QHK4B15ygab1
At1g29070	QHK12M13ygab1
At1g29250	QHA20H19ygab1
At1g29980	QHL8J16ygab1
At1g30000	QHB23O07ygab1
At1g30360	QHB38A07ygab1
At1g30380	QHM18P23ygab1
At1g30510	32539276
At1g30620	QHE24K06ygab1
At1g30630	QHB27J12ygab1
At1g31160	32541500
At1g31817	32536351
At1g32100	QHG17E18ygab1
At1g32260	32534208
At1g32440	QHB8D17ygab1
At1g32470	QHM6B17ygab1
At1g32500	32534173
At1g33140	32538788
At1g33520	QHE18A13ygab1
At1g33810	32541555
At1g34000	QHL6H13ygab1
At1g34220	QHF5H05ygab1
At1g34270	QHJ17H23ygab1
At1g34470	QHG1d01ygab1
At1g35620	QHB39B24ygab1
At1g36240	32535706
At1g42970	QHB39L03ygab1
At1g44575	QHF10M20ygab1
At1g45230	28370763
At1g45474	32529600
At1g47640	32536978
At1g48350	32531305
