At1g01050	carttinccsa1-595
At1g01730	carttinccsa1-3937
At1g01940	carttinc-EL391633
At1g02140	carttinc-EL412349
At1g02170	carttinccsa1-2713
At1g02640	carttinccsa1-4797
At1g03250	carttinccsa1-1589
At1g04290	carttinccsa1-2077
At1g04560	carttinc-EL399177
At1g04620	carttinc-EL375699
At1g05720	carttinccsa1-2069
At1g06680	carttinccsa1-1830
At1g07180	carttinc-EL391645
At1g07350	carttinc-EL407218
At1g08200	carttinccsa1-6562
At1g08480	carttinccsa1-419
At1g08780	carttinccsa1-362
At1g09910	carttinccsa1-759
At1g10200	carttinccsa1-2001
At1g11400	carttinccsa1-2516
At1g11430	carttinc-EL406669
At1g11890	carttinccsa1-235
At1g12050	carttinccsa1-3622
At1g12230	carttinccsa1-3689
At1g12310	carttinc-EL396300
At1g12410	carttinccsa1-2234
At1g12520	carttinccsa1-1398
At1g12840	carttinccsa1-6349
At1g13440	carttinccsa1-1750
At1g14620	carttinccsa1-4023
At1g15140	carttinc-EL404705
At1g15340	carttinc-EL389162
At1g16470	carttinccsa1-1694
At1g16740	carttinccsa1-1924
At1g16880	carttinccsa1-5122
At1g18800	carttinccsa1-2424
At1g20200	carttinccsa1-5518
At1g20430	carttinccsa1-3146
At1g20540	carttinccsa1-4924
At1g20930	carttinc-EL409615
At1g23740	carttinc-EL409663
At1g23820	carttinccsa1-5870
At1g24020	carttinccsa1-116
At1g26550	carttinc-EL411694
At1g26880	carttinc-EL398348
At1g29070	carttinc-EL412050
At1g29250	carttinc-EL379278
At1g30000	carttinc-EL406812
At1g30630	carttinccsa1-757
At1g31160	carttinccsa1-6362
At1g32100	carttinccsa1-2037
At1g32260	carttinccsa1-2032
At1g33140	carttinccsa1-677
At1g34220	carttinccsa1-5688
At1g34470	carttinccsa1-3821
At1g36240	carttinccsa1-37
At1g47640	carttinccsa1-948
At1g48350	carttinccsa1-2169
At1g51510	carttinc-EL407836
At1g51650	carttinc-EL511081
At1g52230	carttinc-EL510779
At1g54650	carttinc-EL404097
At1g55000	carttinccsa1-967
At1g55090	carttinc-EL406667
At1g55310	carttinccsa1-1381
At1g55360	carttinccsa1-4443
At1g60990	carttinccsa1-3822
At1g61150	carttinccsa1-6805
At1g61520	carttinccsa1-553
At1g61800	carttinccsa1-2843
At1g63780	carttinc-EL406446
At1g64200	carttinccsa1-1916
At1g64850	carttinccsa1-396
At1g65270	carttinccsa1-3873
At1g66070	carttinccsa1-6122
At1g67170	carttinccsa1-5534
At1g69640	carttinccsa1-1043
At1g70000	carttinccsa1-2846
At1g70160	carttinc-EL375471
At1g70580	carttinccsa1-5366
At1g72020	carttinccsa1-3908
At1g72160	carttinccsa1-6451
At1g72560	carttinc-EL411861
At1g73090	carttinc-EL399315
At1g73230	carttinccsa1-2430
At1g74730	carttinccsa1-1807
At1g75220	carttinccsa1-4009
At1g75380	carttinccsa1-4767
At1g76160	carttinc-EL376335
At1g77350	carttinc-EL409187
At1g77710	carttinccsa1-1421
At1g78240	carttinc-EL376203
At1g78300	carttinc-EL411843
At1g79040	carttinc-EL389283
At1g79230	carttinccsa1-6896
At1g79850	carttinc-EL402162
At1g80360	carttinccsa1-4540
At2g01110	carttinc-EL411208
At2g01660	carttinccsa1-588
At2g01970	carttinc-EL402357
At2g02050	carttinc-EL405971
At2g03510	carttinccsa1-1925
At2g03800	carttinccsa1-1466
At2g04350	carttinc-EL375093
At2g04520	carttinccsa1-1684
At2g04790	carttinc-EL407767
At2g06050	carttinccsa1-6324
At2g06530	carttinc-EL408065
At2g07696	carttinc-EL385153
At2g09990	carttinccsa1-56
At2g13360	carttinccsa1-1634
At2g15290	carttinc-EL392832
At2g15430	carttinc-EL400964
At2g15910	carttinc-EL391745
At2g16370	carttinccsa1-3637
At2g18600	carttinccsa1-873
At2g20340	carttinc-EL387093
At2g20360	carttinccsa1-5301
At2g20860	carttinc-EL386436
At2g21160	carttinccsa1-6824
At2g21250	carttinccsa1-3002
At2g21330	carttinc-EL393756
At2g21870	carttinccsa1-1221
At2g22570	carttinccsa1-1396
At2g23090	carttinccsa1-15
At2g24200	carttinccsa1-2796
At2g24765	carttinccsa1-2027
At2g25310	carttinccsa1-199
At2g25810	carttinccsa1-731
At2g26210	carttinccsa1-1006
At2g26340	carttinccsa1-931
At2g26670	carttinccsa1-2433
At2g26970	carttinccsa1-5686
At2g26990	carttinccsa1-5841
At2g27290	carttinccsa1-1582
At2g27450	carttinccsa1-1307
